323,PRESSOIR MC LORIOT,51700;Binson et Orquigny
324,SOCIETE COOPERATIVE VINICOLE DE VILLEVENARD - SOCIETE COOPERATIVE AGRICOLE,51270;Villevenard
325,COOPERATIVE VINICOLE LES ANCIENS DE LA VITICULTURE,51190;Avize
326,LA LOUVE,51150;Val de Livre
327,LUC MERAT,51220;Merfy
328,SARL LE BRUN PRESTATION,51530;Monthelon
329,PRESSOIR ORBAN YOANN,51700;Troissy
330,CENTRE VINICOLE CHAMPAGNE NICOLAS FEUILLATTE, UNION DE COOPERATIVES AGRICOLES,51530;Chouilly
331,COOPERATIVE VINICOLE DE MANCY SOCIETE COOPERATIVE AGRICOLE,51200;Epernay
332,COOPERATIVE VINICOLE LE VAL D'OR,51160;Avenay-Val-d'or
333,"PERROT-BATTEUX",51130;Bergères-lès-Vertus
334,SOCIETE COOPERATIVE VINICOLE DE GERMIGNY - JANVRY ROSNAY - SOCIETE COOPERATIVE AGRICOLE,51390;Janvry
335,CCS,51530;Dizy
336,COOPERATIVE UNION VINICOLE DES COTEAUX DE BETHON,51260;Bethon
337,COOPERATIVE VINICOLE DE CUIS,51530;Cuis
338,PRESSOIR GENTIL,51500;Mailly-champagne
339,S.A.R.L. DES BEAUX-SENS,51220;Merfy
340,SOCIETE COOPERATIVE AGRICOLE, VINICOLE DEFYNLIEU DE BOUZY - SOCIETE COOPERATIVE AGRICOLE,51150;Bouzy
341,"DU CHARDONNAY",51380;Villers-Marmery
342,BRUGNON PHILIPPE,51500;RILLY LA MONTAGNE
343,GRELLET PAULETTE,51530;CUIS
344,CANOT EMMANUEL HENRI NARCISSE,51700;CHATILLON SUR MARNE
345,DESMOULINS LYLIANE,51530;SAINT MARTIN D'ABLOIS
346,PAULET MARIE HENRIETTE,51500;TROIS PUITS
347,GUIBORAT DANIEL,51700;DORMANS
348,SEMENCE CHRISTIAN SERGE,51480;VENTEUIL
349,LECOMTE EMMANUELLE FRANCOISE,51190;AVIZE
350,BOUTILLIER MARTINE,51480;CUMIERES
351,ALEXANDRE YVES DESIRE OCTAVE,51390;COURMAS
352,ANDRADE ANTOINE,51500;ECUEIL
353,SCHMITTE ANTONY JEAN BERNARD,51190;LE MESNIL SUR OGER
354,MAILLART NICOLAS MICHEL,51500;ECUEIL
355,LORAIN DIDIER,51480;BELVAL SOUS CHATILLON
356,MAILLET JEAN CLAUDE,51700;LEUVRIGNY
357,BRUNEAUX FRANCOISE,51700;DORMANS
358,CANOT FELIX,51700;MAREUIL LE PORT
359,COURTY JEAN MARIE,51190;GRAUVES
360,INDIVISION MOUZON JEAN-CLAUDE,51360;VERZENAY
361,BLANCHET FRANCIS MARCEL ROBERT,58150;POUILLY SUR LOIRE
362,DOMAINE D'ESPEL,64370;Hagetaubin
363,ARTHUR METZ,67520;MARLENHEIM
364,LOUIS LORON ET FILS,69820;Fleurie
365,SARL VITTEAUT ALBERTI,71150;Rully
366,LEBEAULT & CIE,71150;rully
367,ETABLISSEMENTS L. PICAMELOT,71150;Rully
368,DELIANCE PERE ET FILS,71640;Dracy-le-Fort
369,CENTRE DE METHODE CHAMPENOISE,73190;Saint-Baldoph
370,COMPAGNIE FRANCAISE DES GRANDS VINS,77220;Tournan-en-Brie
371,LES VINS DE LAURENT,84370;Bédarrides
372,CAVES BAILLY LAPIERRE S.C.A.,89530;Saint-Bris-le-Vineux
373,MOET HENNESSY PREMIUM BRANDS,92100;Boulogne-Billancourt
